Suriname,289966,322997,359733,371324,361364,362777,367660,391391,422763,437037,461560,483044,504307,526103,547928,553208
Swaziland,349174,382469,422140,472230,533214,603372,679976,800456,906034,941774,1026009,1080930,1120514,1202843,1295097,1319011
Sweden,7484656,7661354,7912273,8122300,8222286,8310531,8336605,8436489,8668067,8780745,8850974,8924958,9080505,9378126,9696110,9799186
Switzerland,5327827,5789228,6067714,6260956,6302504,6319408,6441865,6593386,6875364,6993795,7110001,7284753,7483934,7824909,8188649,8282396
Syrian Arab Republic,4573512,5200336,5935860,6800141,7794662,8930774,10293049,11719071,13187085,13949697,15602210,17087901,18914977,21018834,19203090,18734987
Tajikistan,2087038,2402455,2750894,3111264,3487644,3905413,4397525,5001110,5502976,5679832,6021691,6447688,7000557,7641630,8362745,8548651
Tanzania,10074507,11339097,12787489,14506617,16493305,18683157,21173603,23909954,27219619,29070615,32451713,36105808,40634948,46098591,52234869,53879957
Thailand,27397175,30881332,34790945,39061994,43386841,47385323,51108082,54912334,57837878,58901666,61597283,64073164,65824164,67208808,68416772,68657600
Timor-Leste,499950,537786,579807,638499,654947,587563,646688,714474,805435,856684,865194,923825,1048621,1109591,1212814,1240977
Togo,1580513,1662073,1945780,2247582,2464455,2720839,3140237,3581928,3973327,4163642,4679023,5251472,5837792,6502952,7228915,7416802
Tonga,61601,71757,81097,86347,89254,93007,93842,94667,95496,95833,97135,99184,101689,104137,105782,106364
Trinidad and Tobago,848479,903275,931468,968741,1025658,1085308,1155695,1204893,1237487,1250318,1262542,1277837,1303144,1328100,1354493,1360092
Tunisia,4176266,4458611,4842167,5287543,5781796,6368167,7127941,7871459,8603225,8956596,9499395,9864326,10196136,10639931,11143908,11273661
Turkey,27472331,30244232,33256432,36587225,40189511,43975921,48114105,52053704,55748875,57564132,61329590,65143054,68763405,72326914,77030628,78271472
Turkmenistan,1603258,1833063,2071789,2324013,2594311,2876808,3166221,3493894,3899843,4115099,4413477,4610002,4810105,5087210,5466241,5565284
Turks and Caicos Islands,5726,5710,5559,5922,6723,7519,9095,10582,12968,14597,17115,21742,27642,30994,33739,34339
Tuvalu,6104,6684,7133,7458,7749,8052,8530,8883,9109,9190,9306,9635,10137,10531,10908,11001
Uganda,6788214,7746198,8872920,9988380,11139833,12549540,14174470,16262533,18652889,19907634,22551789,25718048,29550662,33915133,38833338,40144870
Ukraine,42662149,44794327,46409002,47783011,49036456,49968812,50754000,51521000,52150266,51921041,50143939,48202500,46787750,45870700,45271947,45154029
United Arab Emirates,92634,138529,183194,332760,646943,1042384,1318478,1655849,2086639,2328686,2838145,3507232,5242032,8270684,9070867,9154302
United Kingdom,52400000,54000000,55211700,56086065,56211968,56314216,56422072,56928327,57580402,57865745,58487141,59370479,60846820,62766365,64613160,65128861
United States,180671000,191889000,200706000,209896000,218035000,227225000,235825000,244499000,256514000,263126000,275854000,287625193,298379912,309348193,318563456,320896618
Uruguay,2538651,2665390,2774774,2821439,2841429,2915778,2992645,3069099,3154855,3201607,3292138,3327773,3331043,3374415,3419546,3431552
Uzbekistan,8549493,9788986,11323095,12828625,14279120,15939744,17659975,19501225,21449000,22377000,24051000,25271850,26488250,28562400,30757700,31298900
Vanuatu,63699,72131,80673,90823,103028,115632,127092,139366,155243,164208,178078,193956,214634,236295,258850,264603
"Venezuela, RB",8146847,9476252,10881995,12286439,13739142,15343916,17057785,18912526,20799075,21726352,23569454,25408700,27239168,29028033,30738378,31155134
Vietnam,34743000,37574000,40856000,44758000,49158000,53700000,57692000,63263000,68450100,70824500,75456300,79537700,83311200,86932500,90728900,91713300
